ISBN,title,author,year,publisher,image,content
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg,Coyote Waits (Joe Leaphorn/Jim Chee Novels) Tony Hillerman HarperTorch
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,Before I Say Good-Bye Mary Higgins Clark Pocket
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,Slow Waltz in Cedar Bend Robert James Waller Warner Books
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,Atonement : A Novel IAN MCEWAN Anchor
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg,"Whisper of Evil (Hooper, Kay. Evil Trilogy.) Kay Hooper Bantam Books"
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg,Rebecca Daphne Du Maurier Avon
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg,Puerto Vallarta Squeeze Robert James Waller Warner Books
0446527165,Wish You Well,David Baldacci,2000,Warner Books,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg,Wish You Well David Baldacci Warner Books
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg,Crow Lake (Today Show Book Club #7) Mary Lawson Delta
0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg,Pen Pals Olivia Goldsmith Signet Book
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,Bridget Jones's Diary Helen Fielding Picador (UK)
0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg,The Martian Chronicles RAY BRADBURY Spectra
0060977493,The God of Small Things,Arundhati Roy,1998,Perennial,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,The God of Small Things Arundhati Roy Perennial
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg,"The Big Bad Wolf: A Novel James Patterson Little, Brown"
0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg,"Four Blind Mice James Patterson Little, Brown"
0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg,Private Screening Richard North Patterson Ballantine Books
0345378490,Congo,Michael Crichton,1995,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,Congo Michael Crichton Ballantine Books
0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books,http://images.amazon.com/images/P/0345404793.01.MZZZZZZZ.jpg,Protect and Defend Richard North Patterson Ballantine Books
0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,Memoirs of a Geisha Arthur Golden Alfred A. Knopf
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg,Plainsong (Vintage Contemporaries) KENT HARUF Vintage
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,Body of Evidence (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell Avon
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,All That Remains (Kay Scarpetta Mysteries (Paperback)) Patricia D. Cornwell Avon
0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,The Brethren JOHN GRISHAM Doubleday
0385508042,The King of Torts,John Grisham,2003,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,The King of Torts John Grisham Doubleday Books
0385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg,The Curious Incident of the Dog in the Night-Time : A Novel MARK HADDON Doubleday
0385511612,Bleachers,John Grisham,2003,Doubleday,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,Bleachers John Grisham Doubleday
0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,Sisterhood of the Traveling Pants ANN BRASHARES Delacorte Books for Young Readers
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg,Roses Are Red (Alex Cross Novels) James Patterson Warner Vision
0446610399,The Rescue,Nicholas Sparks,2001,Warner Books,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,The Rescue Nicholas Sparks Warner Books
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg,Manhattan Hunt Club JOHN SAUL Ballantine Books
0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books,http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg,Patty Jane's House of Curl (Ballantine Reader's Circle) LORNA LANDVIK Ballantine Books
0451162072,Pet Sematary,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg,Pet Sematary Stephen King Signet Book
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,Girl with a Pearl Earring Tracy Chevalier Plume Books
0553580388,The Patient,Michael Palmer,2001,Bantam Books,http://images.amazon.com/images/P/0553580388.01.MZZZZZZZ.jpg,The Patient Michael Palmer Bantam Books
0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg,Postmortem (Kay Scarpetta Mysteries (Paperback)) Patricia Cornwell Pocket
0671027387,Deception Point,Dan Brown,2002,Pocket,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,Deception Point Dan Brown Pocket
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,Tis : A Memoir Frank McCourt Scribner
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency) ALEXANDER MCCALL SMITH Anchor
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,Chicken Soup for the Soul (Chicken Soup for the Soul) Jack Canfield Health Communications
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,Wicked: The Life and Times of the Wicked Witch of the West Gregory Maguire Regan Books
0151008116,Life of Pi,Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,Life of Pi Yann Martel Harcourt
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right Al Franken Dutton Books
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,Secret History DONNA TARTT Ballantine Books
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)) Jack Canfield Health Communications
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg,"The Weight of Water Anita Shreve Little, Brown"
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell,http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg,Confessions of a Shopaholic SOPHIE KINSELLA Dell
0451526341,Animal Farm,George Orwell,2004,Signet,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,Animal Farm George Orwell Signet
0553280589,Eva Luna,Isabel Allende,1989,Bantam Books,http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg,Eva Luna Isabel Allende Bantam Books
0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,Catch 22 Joseph Heller Simon &amp; Schuster
0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,A Man in Full Tom Wolfe Farrar Straus &amp; Giroux
0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA,http://images.amazon.com/images/P/0375719180.01.MZZZZZZZ.jpg,The Miracle Life of Edgar Mint: A Novel Brady Udall Vintage Books USA
0440235502,October Sky: A Memoir,Homer Hickam,1999,Dell,http://images.amazon.com/images/P/0440235502.01.MZZZZZZZ.jpg,October Sky: A Memoir Homer Hickam Dell
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,A Painted House John Grisham Dell Publishing Company
0553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books,http://images.amazon.com/images/P/0553278746.01.MZZZZZZZ.jpg,The Postman (Bantam Classics) David Brin Spectra Books
0312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press,http://images.amazon.com/images/P/0312963009.01.MZZZZZZZ.jpg,Neanderthal: A Novel John Darnton St. Martin's Press
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,Vinegar Hill (Oprah's Book Club (Paperback)) A. Manette Ansay Perennial
1573228737,Affinity,Sarah Waters,2002,Riverhead Books,http://images.amazon.com/images/P/1573228737.01.MZZZZZZZ.jpg,Affinity Sarah Waters Riverhead Books
0425120279,The Hunt for Red October,Tom Clancy,1990,Berkley Publishing Group,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg,The Hunt for Red October Tom Clancy Berkley Publishing Group
0060188731,Bel Canto,Ann Patchett,2001,HarperCollins Publishers,http://images.amazon.com/images/P/0060188731.01.MZZZZZZZ.jpg,Bel Canto Ann Patchett HarperCollins Publishers
0140374248,James and the Giant Peach,Roald Dahl,2000,Penguin USA (Paper),http://images.amazon.com/images/P/0140374248.01.MZZZZZZZ.jpg,James and the Giant Peach Roald Dahl Penguin USA (Paper)
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,The Secret Life of Bees Sue Monk Kidd Penguin Books
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,Digital Fortress : A Thriller Dan Brown St. Martin's Press
038542471X,The Client,John Grisham,1993,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,The Client John Grisham Doubleday Books
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg,Heart of the Sea (Irish Trilogy) Nora Roberts Jove Books
067103619X,Lake News,Barbara Delinsky,2000,Pocket,http://images.amazon.com/images/P/067103619X.01.MZZZZZZZ.jpg,Lake News Barbara Delinsky Pocket
0743411269,An Accidental Woman,Barbara Delinsky,2003,Pocket Books,http://images.amazon.com/images/P/0743411269.01.MZZZZZZZ.jpg,An Accidental Woman Barbara Delinsky Pocket Books
0156528207,The Little Prince,Antoine de Saint-ExupÃÂ©ry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,The Little Prince Antoine de Saint-ExupÃÂ©ry Harcourt
0380012863,Jonathan Livingston Seagull,Richard Bach,1976,Avon,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,Jonathan Livingston Seagull Richard Bach Avon
0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg,Moonlight Becomes You Mary Higgins Clark Pocket
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins,http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg,Divine Secrets of the Ya-Ya Sisterhood : A Novel Rebecca Wells HarperCollins
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch,http://images.amazon.com/images/P/006101351X.01.MZZZZZZZ.jpg,The Perfect Storm : A True Story of Men Against the Sea Sebastian Junger HarperTorch
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,"The Lovely Bones: A Novel Alice Sebold Little, Brown"
0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,Hannibal Thomas Harris Dell Publishing Company
0449002632,London : The Novel,EDWARD RUTHERFURD,1998,Fawcett,http://images.amazon.com/images/P/0449002632.01.MZZZZZZZ.jpg,London : The Novel EDWARD RUTHERFURD Fawcett
0553569058,The Robber Bride,Margaret Atwood,1995,Bantam,http://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg,The Robber Bride Margaret Atwood Bantam
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing,http://images.amazon.com/images/P/1878424319.01.MZZZZZZZ.jpg,The Four Agreements: A Practical Guide to Personal Freedom Don Miguel Ruiz Amber-Allen Publishing
0345335465,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books,http://images.amazon.com/images/P/0345335465.01.MZZZZZZZ.jpg,Dragonflight (Dragonriders of Pern Trilogy (Paperback)) Anne McCaffrey Del Rey Books
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group,http://images.amazon.com/images/P/044021145X.01.MZZZZZZZ.jpg,The Firm John Grisham Bantam Dell Publishing Group
0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam,http://images.amazon.com/images/P/0553210092.01.MZZZZZZZ.jpg,The Scarlet Letter NATHANIEL HAWTHORNE Bantam
055358099X,Cloud Nine,Luanne Rice,2000,Bantam Books,http://images.amazon.com/images/P/055358099X.01.MZZZZZZZ.jpg,Cloud Nine Luanne Rice Bantam Books
0316168815,The Lovely Bones,Alice Sebold,2004,Back Bay Books,http://images.amazon.com/images/P/0316168815.01.MZZZZZZZ.jpg,The Lovely Bones Alice Sebold Back Bay Books
0345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,A Widow for One Year JOHN IRVING Ballantine Books
0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,Empire Falls Richard Russo Vintage Books USA
0385503857,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,Oryx and Crake Margaret Atwood Nan A. Talese
0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,Black and Blue ANNA QUINDLEN Dell
0452277337,Le Divorce (William Abrahams Book),Diane Johnson,1997,Plume Books,http://images.amazon.com/images/P/0452277337.01.MZZZZZZZ.jpg,Le Divorce (William Abrahams Book) Diane Johnson Plume Books
0553802488,The Face,DEAN KOONTZ,2003,Bantam,http://images.amazon.com/images/P/0553802488.01.MZZZZZZZ.jpg,The Face DEAN KOONTZ Bantam
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,She's Come Undone (Oprah's Book Club) Wally Lamb Pocket
0767903579,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999,Broadway Books,http://images.amazon.com/images/P/0767903579.01.MZZZZZZZ.jpg,Falling Leaves: The True Story of an Unwanted Chinese Daughter Adeline Yen Mah Broadway Books
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,Nickel and Dimed: On (Not) Getting By in America Barbara Ehrenreich Owl Books
0553285343,"RUSSIA HOUSE, THE",JOHN LE CARRE,1990,Bantam,http://images.amazon.com/images/P/0553285343.01.MZZZZZZZ.jpg,"RUSSIA HOUSE, THE JOHN LE CARRE Bantam"
0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,http://images.amazon.com/images/P/0671002481.01.MZZZZZZZ.jpg,The First Wives Club Movie Tie In Olivia Goldsmith Pocket
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1) Tim Lahaye Tyndale House Publishers
0380973545,Letters from a Nut,Ted L. Nancy,1999,William Morrow,http://images.amazon.com/images/P/0380973545.01.MZZZZZZZ.jpg,Letters from a Nut Ted L. Nancy William Morrow
0786868015,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,2001,Hyperion,http://images.amazon.com/images/P/0786868015.01.MZZZZZZZ.jpg,The Diary of Ellen Rimbauer: My Life at Rose Red Joyce Reardon Hyperion
0446610178,The Sky Is Falling,Sidney Sheldon,2001,Warner Books,http://images.amazon.com/images/P/0446610178.01.MZZZZZZZ.jpg,The Sky Is Falling Sidney Sheldon Warner Books
0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,The Bean Trees Barbara Kingsolver Perennial
0060932759,Daughter of Fortune,Isabel Allende,2000,Perennial,http://images.amazon.com/images/P/0060932759.01.MZZZZZZZ.jpg,Daughter of Fortune Isabel Allende Perennial
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,The Red Tent (Bestselling Backlist) Anita Diamant Picador USA
